season,hour,scenario,value,probability
Winter,1,22,0.3400088011479455,0.010375234715939286
Winter,1,23,0.34124449501053394,0.010362806964023889
Winter,1,24,0.34248018887312237,0.010350351374220336
Winter,1,25,0.3437158827357108,0.010337868062280278
Winter,1,26,0.3449515765982992,0.010325357142608668
Winter,1,27,0.3461872704608877,0.010312818728281065
Winter,1,28,0.34742296432347614,0.010300252931060613
Winter,1,29,0.34865865818606456,0.010287659861414722
Winter,1,30,0.349894352048653,0.010275039628531437
Winter,1,31,0.3511300459112414,0.01026239234033556
Winter,1,32,0.35236573977382984,0.010249718103504434
Winter,1,33,0.35360143363641827,0.010237017023483511
Winter,1,34,0.3548371274990067,0.010224289204501595
Winter,1,35,0.3560728213615951,0.010211534749585856
Winter,1,36,0.3573085152241836,0.010198753760576587
Winter,1,37,0.35854420908677204,0.01018594633814165
Winter,1,38,0.35977990294936046,0.010173112581790766
Winter,1,39,0.3610155968119489,0.010160252589889474
Winter,1,40,0.3622512906745373,0.010147366459672872
Winter,1,41,0.36348698453712575,0.010134454287259183
Winter,1,42,0.3647226783997142,0.010121516167663007
Winter,1,43,0.36595837226230266,0.010108552194808378
Winter,1,44,0.3671940661248911,0.010095562461541622
Winter,1,45,0.3684297599874795,0.010082547059643964
Winter,1,46,0.36966545385006794,0.010069506079843955
Winter,1,47,0.37090114771265636,0.010056439611829634
Winter,1,48,0.3721368415752448,0.01004334774426055
Winter,1,49,0.3733725354378332,0.010030230564779563
Winter,1,50,0.3746082293004217,0.010017088160024392
Winter,1,51,0.37584392316301013,0.010003920615639065
Winter,1,52,0.37707961702559856,0.0099907280162851
Winter,1,53,0.378315310888187,0.009977510445652529
Winter,1,54,0.3795510047507754,0.00996426798647074
Winter,1,55,0.38078669861336384,0.009951000720519146
Winter,1,56,0.38202239247595227,0.00993770872863765
Winter,1,57,0.38325808633854075,0.00992439209073695
Winter,1,58,0.3844937802011291,0.009911050885808712
Winter,1,59,0.3857294740637176,0.009897685191935505
Winter,1,60,0.38696516792630603,0.009884295086300617
Winter,1,61,0.38820086178889446,0.009870880645197706
Winter,1,62,0.3894365556514829,0.009857441944040299
Winter,1,63,0.3906722495140713,0.009843979057371085
Winter,1,64,0.39190794337665974,0.009830492058871146
Winter,1,65,0.39314363723924817,0.009816981021368932
Winter,1,66,0.39437933110183665,0.009803446016849184
Winter,1,67,0.3956150249644251,0.009789887116461669
Winter,1,68,0.3968507188270135,0.009776304390529735
Winter,1,69,0.39808641268960193,0.009762697908558812
Winter,1,70,0.39932210655219036,0.009749067739244695
Winter,1,71,0.4005578004147788,0.009735413950481761
Winter,1,72,0.4017934942773672,0.009721736609370979
Winter,1,73,0.4030291881399557,0.009708035782227854
Winter,1,74,0.4042648820025441,0.009694311534590211
Winter,1,75,0.40550057586513255,0.009680563931225862
Winter,1,76,0.406736269727721,0.00966679303614015
Winter,1,77,0.4079719635903094,0.009652998912583352
Winter,1,78,0.40920765745289783,0.009639181623057996
Winter,1,79,0.41044335131548626,0.009625341229326038
Winter,1,80,0.41167904517807474,0.009611477792415911
Winter,1,81,0.4129147390406631,0.0095975913726295
Winter,1,82,0.4141504329032516,0.009583682029548965
Winter,1,83,0.41538612676584,0.009569749822043479
Winter,1,84,0.41662182062842845,0.009555794808275836
Winter,1,85,0.4178575144910169,0.009541817045708993
Winter,1,86,0.4190932083536053,0.00952781659111242
Winter,1,87,0.4203289022161938,0.009513793500568479
Winter,1,88,0.42156459607878216,0.009499747829478565
Winter,1,89,0.42280028994137064,0.009485679632569258
Winter,1,90,0.42403598380395907,0.009471588963898271
Winter,1,91,0.4252716776665475,0.00945747587686042
Winter,1,92,0.4265073715291359,0.00944334042419339
Winter,1,93,0.42774306539172435,0.009429182657983466
Winter,1,94,0.4289787592543128,0.009415002629671165
Winter,1,95,0.4302144531169012,0.009400800390056765
Winter,1,96,0.4314501469794897,0.009386575989305743
Winter,1,97,0.4326858408420781,0.009372329476954143
Winter,1,98,0.43392153470466654,0.009358060901913826
Winter,1,99,0.435157228567255,0.009343770312477665
Winter,1,100,0.4363929224298434,0.009329457756324646
Winter,2,1,0.3163272645415394,0.010613008532393957
Winter,2,2,0.317560036698899,0.010601634722929902
Winter,2,3,0.31879280885625855,0.010590226644566802
Winter,2,4,0.3200255810136181,0.01057878446637478
Winter,2,5,0.32125835317097773,0.010567308355448888
Winter,2,6,0.3224911253283373,0.010555798476936943
Winter,2,7,0.32372389748569685,0.010544254994066785
Winter,2,8,0.3249566696430564,0.010532678068173068
Winter,2,9,0.326189441800416,0.010521067858723514
Winter,2,10,0.32742221395777554,0.010509424523344722
Winter,2,11,0.32865498611513516,0.010497748217847477
Winter,2,12,0.3298877582724947,0.010486039096251605
Winter,2,13,0.3311205304298543,0.010474297310810352
Winter,2,14,0.33235330258721385,0.010462523012034371
Winter,2,15,0.3335860747445734,0.010450716348715212
Winter,2,16,0.334818846901933,0.010438877467948431
Winter,2,17,0.33605161905929254,0.010427006515156255
Winter,2,18,0.33728439121665216,0.010415103634109878
Winter,2,19,0.3385171633740117,0.010403168966951284
Winter,2,20,0.3397499355313713,0.010391202654214773
Winter,2,21,0.34098270768873085,0.010379204834848029
Winter,2,22,0.3422154798460904,0.010367175646232858
Winter,2,23,0.34344825200344997,0.010355115224205529
Winter,2,24,0.3446810241608096,0.01034302370307679
Winter,2,25,0.34591379631816915,0.0103309012156515
Winter,2,26,0.3471465684755287,0.010318747893247928
Winter,2,27,0.3483793406328883,0.01030656386571672
Winter,2,28,0.34961211279024784,0.010294349261459536
Winter,2,29,0.3508448849476074,0.010282104207447351
Winter,2,30,0.35207765710496697,0.010269828829238445
Winter,2,31,0.3533104292623266,0.0102575232509961
Winter,2,32,0.35454320141968615,0.010245187595505951
Winter,2,33,0.3557759735770457,0.010232821984193086
Winter,2,34,0.3570087457344053,0.010220426537138809
Winter,2,35,0.35824151789176484,0.010208001373097167
Winter,2,36,0.3594742900491244,0.010195546609511125
Winter,2,37,0.36070706220648396,0.010183062362528538
Winter,2,38,0.3619398343638436,0.010170548747017831
Winter,2,39,0.36317260652120315,0.010158005876583366
Winter,2,40,0.3644053786785627,0.010145433863580614
Winter,2,41,0.36563815083592227,0.010132832819131056
Winter,2,42,0.36687092299328183,0.010120202853136782
Winter,2,43,0.3681036951506414,0.010107544074294943
Winter,2,44,0.36933646730800096,0.010094856590111853
Winter,2,45,0.3705692394653606,0.010082140506916956
Winter,2,46,0.37180201162272014,0.010069395929876471
Winter,2,47,0.3730347837800797,0.0100566229630069
Winter,2,48,0.37426755593743927,0.010043821709188222
Winter,2,49,0.37550032809479883,0.010030992270176932
Winter,2,50,0.37673310025215845,0.010018134746618862
Winter,2,51,0.377965872409518,0.010005249238061757
Winter,2,52,0.3791986445668776,0.009992335842967676
Winter,2,53,0.38043141672423714,0.009979394658725155
Winter,2,54,0.3816641888815967,0.00996642578166123
Winter,2,55,0.38289696103895626,0.009953429307053204
Winter,2,56,0.3841297331963158,0.009940405329140256
Winter,2,57,0.38536250535367544,0.00992735394113484
Winter,2,58,0.386595277511035,0.009914275235233952
Winter,2,59,0.38782804966839457,0.009901169302630118
Winter,2,60,0.38906082182575413,0.0098880362335223
Winter,2,61,0.3902935939831137,0.009874876117126584
Winter,2,62,0.39152636614047326,0.009861689041686687
Winter,2,63,0.3927591382978328,0.009848475094484322
Winter,2,64,0.39399191045519244,0.009835234361849373
Winter,2,65,0.395224682612552,0.00982196692916993
Winter,2,66,0.39645745476991157,0.009808672880902135
Winter,2,67,0.39769022692727113,0.009795352300579898
Winter,2,68,0.3989229990846307,0.009782005270824443
Winter,2,69,0.40015577124199025,0.009768631873353703
Winter,2,70,0.4013885433993498,0.00975523218899157
Winter,2,71,0.40262131555670944,0.009741806297677022
Winter,2,72,0.403854087714069,0.009728354278473036
Winter,2,73,0.40508685987142856,0.00971487620957543
Winter,2,74,0.4063196320287881,0.009701372168321537
Winter,2,75,0.4075524041861477,0.009687842231198748
Winter,2,76,0.4087851763435073,0.009674286473852895
Winter,2,77,0.4100179485008668,0.00966070497109656
Winter,2,78,0.41125072065822643,0.009647097796917182
Winter,2,79,0.412483492815586,0.009633465024485085
Winter,2,80,0.41371626497294556,0.009619806726161362
Winter,2,81,0.4149490371303051,0.009606122973505644
Winter,2,82,0.4161818092876647,0.009592413837283733
Winter,2,83,0.4174145814450243,0.00957867938747513
Winter,2,84,0.41864735360238386,0.009564919693280433
Winter,2,85,0.41988012575974343,0.009551134823128627
Winter,2,86,0.421112897917103,0.009537324844684248
Winter,2,87,0.42234567007446255,0.009523489824854464
Winter,2,88,0.4235784422318221,0.009509629829795991
Winter,2,89,0.4248112143891817,0.009495744924921973
Winter,2,90,0.4260439865465413,0.009481835174908674
Winter,2,91,0.42727675870390086,0.009467900643702145
Winter,2,92,0.4285095308612604,0.00945394139452471
Winter,2,93,0.42974230301862,0.00943995748988142
Winter,2,94,0.43097507517597955,0.009425948991566348
Winter,2,95,0.4322078473333391,0.009411915960668826
Winter,2,96,0.4334406194906987,0.00939785845757955
Winter,2,97,0.4346733916480583,0.00938377654199662
Winter,2,98,0.43590616380541786,0.0093696702729315
Winter,2,99,0.4371389359627774,0.009355539708714791
Winter,2,100,0.438371708120137,0.009341384907002023
Winter,3,1,0.31407503387395924,0.010621532335024924
Winter,3,2,0.3152962073712229,0.010610068595136617
Winter,3,3,0.31651738086848646,0.01059856748099056
Winter,3,4,0.3177385543657501,0.010587029189212723
